content,score,label,word_count,clean_text
"Aku sukak bgt sma ruangguru, bikin aku cepat megerti dgn bantuan animasi² keren di setiap vidio pelajarannya, biasanya kalau d skolah aku bosan karna.....",5,Positif,24,sukak bgt sma bikin cepat megerti dgn bantu animasi keren vidio ajar d skolah bosan karna
"Apk nya gak bagus nih, mending lihat youtobe gratisss lengkap. Drpd ini bayar gak paham ditambah mahal haduhh yang download orang orang kayak kelebihan uang sih. Udah paketan beli, lesnya bayar downloadnya pakai kuota sendiri. Pokoknya orang goblk lah yang download kebanyakan uang.",1,Negatif,43,apk gak bagus nih mending lihat youtobe gratisss lengkap drpd bayar gak paham tambah mahal haduhh download orang orang kayak lebih uang udah paket beli les bayar downloadnya pakai kuota pokok orang goblk download banyak uang
Sangat membantu untuk anak - anak yang orang tuanya sibuk bekerja Praktis dan pastinya lebih mudah dipahami,5,Positif,17,bantu anak anak orang tua sibuk praktis pasti mudah paham
berkat ada nya ruang guru sekarang aku makin giat belajar dan aku mendapat nilai yg sempurna tadi nya aku rangking 10 besar sekarang aku menjadi rangking 4/3 Terima kasih ruang guru,5,Positif,31,berkat ruang guru giat ajar nilai sempurna rangking rangking terima kasih ruang guru
"Kurang efektif karena..esensi kecerdesan itu tak hanya visual saja..melainkan..aspek social secara langsung pun..merupakan bagian dari pendidikan..sekarang ini kita ada era digital tapi..jangan smpe juga kita lupakan dunia nyata..dan kita pun harus mempertimbangkan pula..saudara saudara kita di luar sana,,yang menjadi tutor di lembaga bimbel...jangan sampe membuat mereka menyerah di dunia pendidikan...salam literasi",1,Negatif,51,efektif karenaesensi kecerdesan visual sajamelainkanaspek social langsung punmerupakan pendidikansekarang era digital tapijangan smpe lupa dunia nyatadan timbang pulasaudara saudara sanayang tutor lembaga bimbeljangan sampe serah dunia pendidikansalam literasi
"Ruangguru sangat membantu sekali, penjelasannya sangat terperinci dan mudah dipahami. Terima kasih Ruangguru",5,Positif,13,bantu jelas perinci mudah paham terima kasih
"Sorry 🙏,tpi iklan mu di TV meresahkan 🗿",1,Negatif,8,sorry tpi iklan mu tv resah
Saya sangat berharap aplikasi bisa offline biar tidak beli kouta terus,2,Negatif,11,harap offline biar beli kouta
Gk usah sok nguasain tv lu,1,Negatif,6,gk sok nguasain tv lu
"video nya putus putus gatau kenapa heran, jadi ga nyaman belajar nya",2,Negatif,12,video putus putus gatau heran ga nyaman ajar
Sering tdk bisa di putar videonya,1,Negatif,6,tdk putar video
Ruangguru terhenti dengan sendirinya,1,Negatif,4,henti
Kak saya mau nanya untuk ruang guru buat smk kelas 3 yang mana ya kak paket yg cocok,4,Positif,18,kak nanya ruang guru smk kelas kak paket cocok
ruang guru sangat bagus mudah di pahami,5,Positif,7,ruang guru bagus mudah paham
benar benar mempermudah belajar,5,Positif,4,mudah ajar
Aplikasinya sangat bagus buat yg mau belajar lebih jauh lagi.mudah dipahami,5,Positif,11,aplikasi bagus ajar lagimudah paham
"ini aplikasi selalu iklan dimana mana,smpe di skolah guee ajg.. gue yang mau plg karna ga Pramuka jadi ketunda karna ni aplikasi..kentott",1,Negatif,22,iklan mana manasmpe skolah guee ajg gue plg karna ga pramuka tunda karna ni aplikasikentott
"Hallo ruangguru✋ Aplikasi Belajar No 1 Didunia, Monmap Sblmnya Sya Novi, Novi Mau Kasih Keluhan Novi Diaplikasi RG Nii, Knp Kok Bisa Yah Udh Downlod Dh 100% Tpi Mlhn Keulang Back Jd 0% Tolong Cpttrespon🙏🙏.",2,Negatif,35,hallo ajar no dunia monmap sblmnya sya novi novi kasih keluh novi aplikasi nii knp yah udh downlod dh tpi mlhn ulang back jd tolong cpttrespon
Saya kasih 🌟 5 sangat membatu buat saya 👍👍,5,Positif,9,kasih batu
kenapa pilihan kelas 12 nya hanya IPS? padahal saya sekolahnya di SMK. tolong solusinya,1,Negatif,14,pilih kelas ips sekolah smk tolong solusi
rasanyaaa seperti anda menjadi ironmen,5,Positif,5,rasanyaaa ironmen
Tidak hebat dan mahal kontrak kan,1,Negatif,6,hebat mahal kontrak
alhamdulillah saya jadi juara amiin,5,Positif,5,alhamdulillah juara amiin
Hi ruangguru terimakasih ya 😘🙏🏼sekarang anak saya jadi rajin belajar dan makin bagus nilainya berkat memakai ruangguru .anak saya sangat senang belajar di ruangguru karna ruangguru memiliki beragam fitur bagus .selamat ulangtahun ruang gru .ilove ruang guru!❤️❤️❤️,5,Positif,37,hi terimakasih anak rajin ajar bagus nilai berkat pakai anak senang ajar karna milik agam fitur bagus selamat ulangtahun ruang gru ilove ruang guru
Bayar semua ga ada yg gratis,1,Negatif,6,bayar ga gratis
Ruang guru saya ingin menonton sinetron yang muncul ruang guru terus,1,Negatif,11,ruang guru tonton sinetron muncul ruang guru
"Jujur saya juga pengen belajar di ruang guru :'( Tapi saya anak SMK, otomatis penyajian materinya belum ada. Saya susah mengerti mata pelajaran kejuruan saya yaitu akuntansi, saya harap ruang guru juga menyajikan pada jenjang SMK :(",2,Negatif,37,jujur ken ajar ruang guru anak smk otomatis saji materi susah erti mata ajar juru akuntansi harap ruang guru saji jenjang smk
Bagus banget sampai aku sama adiku mau belajar,5,Positif,8,bagus banget adi ajar
"OMGGG!! dulu nilai ku 80 semenjak aku menggunakan google untuk mencari isian soal nilaiku jadi 90 terimakasih google,brainly",1,Negatif,18,omggg nilai ku semenjak google cari isi nilai terimakasih googlebrainly
"Membantu saya dalam belajar,",5,Positif,4,bantu ajar
Jgn kau hack TV ku,1,Negatif,5,jgn kau hack tv ku
Ruangguru bikin aku bisa menjawab soal disekolah terima kasih ruang guru semoga tetap bagus disetiap tahunnya,5,Positif,16,bikin seko terima kasih ruang guru moga bagus tiap tahun
Bagus sih... Tpi lumayan juga nih kuota,4,Positif,7,bagus tpi lumayan nih kuota
APA sih gk jelas di HACK aja biar gk bayar versi cracknya apasi gk jelas betul kiamat,1,Negatif,17,gk hack biar gk bayar versi cracknya apas gk kiamat
aplikasi ini bagus banget untuk belajar. coba ada metode belajar sambil bernyanyi kan ada yang suka mendengarkan musik sampai hafal lagi,5,Positif,21,bagus banget ajar coba metode ajar nyanyi suka dengar musik hafal
"kak kenapa aplikasi ruang guru di hp sya g bisa kebuka, setiap mau masuk pasti langsung keluar. padahal sya baru daftar trs 2hari kemudian udh gak bisa d buka. mohon bantuan nya kak",2,Negatif,33,kak ruang guru hp sya g buka masuk langsung sya daftar trs udh gak d buka mohon bantu kak
Saya suka sekali ruang guru ini karna saya bisa belajar semua mata pelajaran diruang guru ini,5,Positif,16,suka ruang guru karna ajar mata ajar ruang guru
Makin bikin semangat belajar,5,Positif,4,bikin semangat ajar
"Aku suka banget sm ruang guru,karena dapat menambah ilmu kita,terima kasih 
ruang guru",5,Positif,13,suka banget sm ruang gurukarena tambah ilmu kitaterima kasih ruang guru
"Wah nilai ku sekarang bertambah dulunya 80 sekarang naik jadi 96 terima kasih ruangguru,aku maukasi rokomendasi sama ruang guru tolong dong paket nay di kurangin lagi itu aja sirokomendasi aku buat ruang guru terima kasih",5,Positif,35,nilai ku tambah dulunya terima kasih ruangguruaku maukasi rokomendasi ruang guru tolong paket nay rangin sirokomendasi ruang guru terima kasih
Ruang Guru nya enak belajar kita bisa jadi tau semua apa tentang pelajarannya.,1,Negatif,13,ruang guru enak ajar tau ajar
Aku ketik bintang 1 dulu soalnya belum nyoba,1,Negatif,8,ketik bintang nyoba
Wooow ini sangat membantu,5,Positif,4,wooow bantu
di mapel sosiologi saya menemukan adanya bug dan pada mapel agama penjelasannya kurang lengkap bahkan sering tidak ada penjelasannya,4,Positif,19,mapel sosiologi temu bug mapel agama jelas lengkap jelas
"Adik gue nangis berjam jam karena mau nonton upin ipin malah ada ruang guru. Semua tv isinya ruang guru, jangan serakah gak semua orang suka ruang guru",1,Negatif,27,adik gue nang jam jam nonton upin ipin ruang guru tv isi ruang guru serakah gak orang suka ruang guru
Aplikasi yang sangat bermanfaat bagi pelajar,5,Positif,6,manfaat ajar
Assalamualaikum Nama saya sultan saya baru gabung di ruang guru saya sekolah smk kalau pelajaran umumnya sama dengan sma?,1,Negatif,19,assalamualaikum nama sultan gabung ruang guru sekolah smk ajar sma
Kok udh download tapi gk kepasang Pls admin coba di perbaiki deh,1,Negatif,12,udh download gk pasang pls admin coba baik deh
Emang Apk ini bermanfaat Tapi Jangan Memotong Acara Tv kesayangan BEGO,1,Negatif,11,emang apk manfaat potong acara tv sayang bego
"Terima kasih rusngguru,Belajar di ruangguru mudah di pahami nya terus juga ga mudah bosen",5,Positif,14,terima kasih rusnggurubelajar mudah paham ga mudah bosen
"Wah bagus sekali saya menjadi pintar sebab saya mendownload aplikasi ruang 
guru",5,Positif,12,bagus pintar mendownload ruang guru
Apkah sekarang ruang guru gratis,5,Positif,5,apkah ruang guru gratis
bagus sekali karena pelajarannya sama kayak disekolah aku 😁,5,Positif,9,bagus ajar kayak seko
susah cari guru yang bisa membantu 1 soal saja tugas saya dalam 30 menit dan akhirnya saya tidak paham dan tugas tidak selesai.,1,Negatif,23,susah cari guru bantu tugas menit paham tugas selesai
"Lebih baik bimbel/les biasa daripada ruang guru.Ruang Guru ini membutuhkan banyak paket internet (boros) dan sinyal yang sangat baik untuk menonton video nya👎👎👎👎👎. Belajar jadi sulit ketika ada ""Ruang Guru""",1,Negatif,30,bimbelles ruang gururuang guru butuh paket internet boros sinyal tonton video ajar sulit ruang guru
Kok Bayar? ( Kalau Gratis aku kasih bintang 5),1,Negatif,9,bayar gratis kasih bintang
Apa sih kode awal nya terus gak bisa dibukak vidio nya jadi aku gak bisa belajar 😭😭😭,1,Negatif,17,kode gak dibukak vidio gak ajar
Ruang guru sangat bermanfaat bagi saya,5,Positif,6,ruang guru manfaat
"Tidak as jurusan lainnya seperti pariwisata,teknik dll adanya ipa dan ips saja pdhl kan ng semuanya ipa dan ips",2,Negatif,19,as jurus pariwisatateknik dll ipa ips pdhl ng ipa ips
embe nya sedi kiting dong😤😥,1,Negatif,5,embe sedi kiting
kenapa apk ruang guru saya tidak bisa menenton videonya .semua terkunci,2,Negatif,11,apk ruang guru menenton video kunci
Gua pake apk ini gak bisa bisa log in🥱🥱,1,Negatif,9,gua pake apk gak log in
Aplikasi yg sangat bagus,5,Positif,4,bagus
Saya mohon ruang guru kalo bikin acara tv jangan di semua saluran saya kalo mau lihat kartun jadi gak bisa.tolong dikurangi acaranya,1,Negatif,22,mohon ruang guru kalo bikin acara tv salur kalo lihat kartun gak bisatolong rang acara
"Apk ini sangat membantu, karna ada berbagai vidio yg mudah di mengerti 🙏🙏 yasudah dadahhh😊😊😊😊",5,Positif,15,apk bantu karna vidio mudah erti yasudah dadahhh
mending belajar di rumah sendiri lebih gampang gak usah bayar,1,Negatif,10,mending ajar rumah gampang gak bayar
"Untuk soal tryout SMP kelas 7...mohon jangan dicampur dengan pelajaran kelas 8 dan 9, karena pada dasarnya kasian untuk anak yang masih kelas 7 lalu untuk soal/Pertanyaan nya..., mohon untuk lebih dimudahkan atau tidak panjang², Krn jika soal panjang² itu malah membuat anak menjadi mudah bosan....",1,Negatif,46,tryout smp kelas mohon campur ajar kelas dasar kasi anak kelas soalpertanyaan mohon mudah panjang krn panjang anak mudah bosan
Knp kok selalu lihat selanjutnya untuk misi kok harus langganan😠😠😬😬😬,1,Negatif,10,knp lihat misi langgan
Tolong kirimkan aku paket 30 GB,5,Positif,6,tolong kirim paket gb
"Sudah membeli paket 1,5 tahun...krn berharap puas..tp trnyt video pendidikan karakter tdk bs dibuka. Padahal video lain bs(artinya tdk ada masalah di jaringan, jenis tablet, ram 3giga, memori 32 jenis tablet tab samsung with stylus)...ktnya sy blm berlangganan (klo blm berlanggan hrsnya g bs semua).Padahal sudah contact cs.. aplikasi terbaru, pembayaran confirm diterima, sudah restart tablet dan log out log in sesuai arahan cs...",1,Negatif,64,beli paket tahunkrn harap puastp trnyt video didik karakter tdk bs buka video bsartinya tdk jaring jenis tablet ram giga memori jenis tablet tab samsung with stylusktnya sy blm langgan klo blm langgan hrsnya g bs semuapadahal contact cs baru bayar confirm terima restart tablet log out log in sesuai arah cs
Apk sangat bermanfaat bagi pelajar sangat membantu terima kasih,5,Positif,9,apk manfaat ajar bantu terima kasih
"this is bussines bro,gw yakin banget,pemerintah suruh para siswa/i,mahasiswa download ni aplikasi,otomatis ni aplikasi banyak yg make dan banyak yg berlangganan,this is promosi ~Brainly~",2,Negatif,24,this is bussines brogw bangetpemerintah suruh siswaimahasiswa download ni aplikasiotomatis ni make berlanggananthis is promosi brainly
"Berlangganan karna butuh tambahan belajar buat anak saya yg kelas 6. Ternyata materi kelas 6 di ruang guru berbeda dengan materi di kelas. Saat saya tanyakan sama tim RG, eh malah di suruh nyari materi di aplikasi yg sesuai dgn pembelajaran di kelas. Malah di suruh2... pas buka pencarian aja gak kebuka2. Jd esmosi saya. Mau gampang belajar, eh malah mumet nyari2 materi,, gak otomatis muncul saat kita menentukan kelas.. ribeet ahh...",1,Negatif,72,langgan karna butuh tambah ajar anak kelas materi kelas ruang guru beda materi kelas tim eh suruh nyari materi sesuai dgn ajar kelas suruh pas buka cari gak buka jd esmosi gampang ajar eh mumet nyari materi gak otomatis muncul tentu kelas ribeet ahh
"Menghabiskan kuota , dan banyak membuang waktu, membuat mata cepat lelah",1,Negatif,11,habis kuota buang mata cepat lelah
Diskonnya banyak bangett dan ini bimbel online terbaik pokoknya😘😘😘jangan lupa download yaa temen temen😂,5,Positif,14,diskon bangett bimbel online baik pokoknyajangan lupa download yaa temen temen
Apk jelek bayar nya mahal,1,Negatif,5,apk jelek bayar mahal
"Hallo, nama saya Fifi, saya sudah menggunakan aplikasi ruang guru dan saya sangat suka dengan aplikasi ruang guru ini, karena setelah saya belajar menggunakan aplikasi ruang guru, saya lebih mudah dalam memahami pelajaran yang saya pelajari.",5,Positif,36,hallo nama fifi ruang guru suka ruang guru ajar ruang guru mudah paham ajar ajar
"Sertifikat saya belum masuk di kartu prakerja dari ruang guru,, dasar apk dari luar penipu",1,Negatif,15,sertifikat masuk kartu prakerja ruang guru dasar apk tipu
"hmm maaf.. apakah Ruang guru ini gk ada materi untuk SMK. Saya Cari Adanya SMA Ipa, sama Ips.. Jadi saya ini Bingung mau pilih Yg mana.. Terima kasih",2,Negatif,28,hmm maaf ruang guru gk materi smk cari sma ipa ips bingung pilih terima kasih
Aku semakin Pinter karena Aplikasi ini ! Makasih ya,5,Positif,9,pinter makasih
"Aplikasi nya jelek aku gk suka, gk m enarik",1,Negatif,9,jelek gk suka gk m enarik
Aplikasi yang sangat bagus untuk menambah wawasan dan ilmu pengetahuan..,5,Positif,10,bagus tambah wawas ilmu tahu
Terima kasih ruang guru karena sudah membantu saya dalam menyelesaikan pelatihan ..... Materinya bagus bangat dan mudah di pahami,5,Positif,19,terima kasih ruang guru bantu selesai latih materi bagus bangat mudah paham
"Heran, gak pernah ngerti sama penjelasannya.",1,Negatif,6,heran gak ngerti jelas
Saya jadi bisa lebih mudah mempelajarinya disekolah karna sudah di ajar kan di ruang guru makasih ruang guru,5,Positif,18,mudah ajar seko karna ajar ruang guru makasih ruang guru
"Alhamdullilah Saya Bisa Naik Kelas Dan Menjadi Juara Terus Di Sekolah Karna RuangGuru No 1 Di Indonesia,,,,Terima Kasih Ruang Guru Karna Tlah Membantu Sya Untuk Menjadi Sukses Dan Meraih Cita Cita Sya",5,Positif,32,alhamdullilah kelas juara sekolah karna no indonesiaterima kasih ruang guru karna tlah bantu sya sukses raih cita cita sya
mata anak saya menjadi kabur dan nilai nya menjadi lebih buruk,1,Negatif,11,mata anak kabur nilai buruk
Makasih ya ruang guru Nilai aku jadi seratus Mulu,5,Positif,9,makasih ruang guru nilai ratus mulu
Aku suka banget aplikasinya sekarang aku udh jadi juara kelas,5,Positif,10,suka banget aplikasi udh juara kelas
Siapa Yang Buat Ini Apk Ruang Guru Dan Kenapa Ini Film ruang Guru Sering Ada Di Siaran Lain Padahal Gue Mau Nonton Eh Malah Ada Lagi Ruang Guru Lebih Baik Bikin Siaran Sendiri Dong Iiii Sebell Gua😠😠😠,1,Negatif,37,apk ruang guru film ruang guru siar gue nonton eh ruang guru bikin siar iiii sebell gua
lemot...gak isok dibuka wes bayar Sa tahun,1,Negatif,7,lemotgak isok buka wes bayar sa
Apakah aplikasi ruang guru ini bayar?,2,Negatif,6,ruang guru bayar
wahhh bagus banget mantulll,5,Positif,4,wahhh bagus banget mantulll
"Maaf, kak Mengapa ini Ada yang free ada yang gak free? lagi pula kita juga dapat nya ilmu nya Sedang kak. Mama ku juga Udah di Hapus rg nya. Trus aku belajar Mtk inggris Gimana dong. Mohon maaf atas ketidaknyaman ketika saya memberi info. Mengapa banyak seklai iklan itu sangat mengganggu. Dan aku juga punya dikit google pay nya cuman 10. tolong di di perbaiki",4,Positif,65,maaf kak free gak free ilmu kak mama ku udah hapus trus ajar mtk inggris gimana mohon maaf ketidaknyaman info seklai iklan ganggu dikit google pay cuman tolong baik
"Kurang efisien, sedangkan kalau mau ini itu harus berbayar",1,Negatif,9,efisien bayar
Woww...Ruang Guru memeng bagus😍aku baru pakai seminggu aja nilaiku udah naik drasti Terima kasih RUANG GURU😍😍👍 Aku kasih bintang 5 yaa,5,Positif,21,wowwruang guru memeng bagusaku pakai minggu nilai udah drasti terima kasih ruang guru kasih bintang yaa
Wah Aplikasi Ruang guru.bagus banget deh. bikin aku jadi pintar nih hehehe 😊😊 Ruang guru in the best 🙏,5,Positif,19,ruang gurubagus banget deh bikin pintar nih hehehe ruang guru in the best
Aplikasi tai semua stasiun tv smua isinya ruangguru mulu gua uda lulus tai gaprlu lagi bimbel ajg-_-,1,Negatif,17,tai stasiun tv smua isi mulu gua uda lulus tai gaprlu bimbel ajg
Saya sangat menyesali karena gak ada langganan untuk smp,2,Negatif,9,sali gak langgan smp
"OM G GiGik , ruang guru sangat skaylaysesszzz , haned hanedd ohok ohok formibess ayehh .",1,Negatif,16,om g gigik ruang guru skaylaysesszzz haned hanedd ohok ohok formibess ayehh
"Ruang guru tukang pembangkrut negara soalnya ruang guru klo mau belajar harus ngeluarin uang sekitar 1 jutaan buat apa ngak kasian napa kepada masyarakat miskin yang belajar di ruang guru bukannya mementingkan prestasi malah mementingkan keuangan ""Kami ini mau belajar bukan belajar sambil jadian"" Dasar tukang pembangkrut negara",1,Negatif,48,ruang guru tukang bangkrut negara ruang guru klo ajar ngeluarin uang juta ngak kasi napa masyarakat miskin ajar ruang guru penting prestasi penting uang ajar ajar jadi dasar tukang bangkrut negara
Di ruang guru bagus biar kita cepet pintar semua nya ada,5,Positif,11,ruang guru bagus biar cepet pintar
Ruang guru ini sangat bagus dulu nilai bahasa inggris 60 sekarang 98 terima kasih ruang guru semogah sukses selalu,5,Positif,19,ruang guru bagus nilai bahasa inggris terima kasih ruang guru semogah sukses
Ini ngebug tlg di perbaiki lagi,1,Negatif,6,ngebug tlg baik
Bagus bgt tapi suka macet :'),5,Positif,6,bagus bgt suka macet
Kok dawlond nya lama sih,2,Negatif,5,dawlond
Gak bisa buka yg terkunci padahal udh langganan,1,Negatif,8,gak buka kunci udh langgan
"Untuk ruang guru , aplikasi ini hanya untuk kalangan orang berada , tidak seperti saya yang tidak punya handphone/laptop untuk belajar di ruang guru ,karna saya dari kalangan orang hidup pas pasan . real !aplikasi ini hanya untuk kalangan orang berada.",1,Negatif,41,ruang guru kalang orang handphonelaptop ajar ruang guru karna kalang orang hidup pas pas real kalang orang
"Saya kasih bintang ⭐⭐ karna saya gk modal buat berlangganan🗿 kepo aja sama cara belajar app ini tu gimana dan ternyata baguss bgt.Saya suka pakeee banget app ini,cara gurunya ngajar asyik dan gk ngebosenin 💓. Tapi sayangnya ngestuck karna gak berlangganan yaaudah deh mau gmna lagi🗿 Sekali lagii ya saya bilang kalo app ni bagusss baguus pakeeee bangeeeet much much much love this application, imagine to connect with this app always but.....😞",2,Negatif,72,kasih bintang karna gk modal langgan kepo ajar app tu gimana baguss bgtsaya suka pakeee banget app inicara guru ngajar asyik gk ngebosenin sayang ngestuck karna gak langgan yaaudah deh gmna lagi bilang kalo app ni bagusss baguus pakeeee bangeeeet much much much love this application imagine to connect with this app always but
Saya anak smk keperawatan bisa download aplikasi ruang guru ?,5,Positif,10,anak smk awat download ruang guru
"Aplikasinya bagus cuma streaknya batasnya sampai 10 kali semoga update baru ""aku punya update rekomendasi seperti tambahan fitur pencapaian misalnya menonton (2 vidio + 500xp 250 gold) (Mengerjakan 3 kuis + 1.000xp 500gold) (Mengerjakan 1 latihan bab + 1.500xp 750gold) Alasannya biar gal bosen. Tolong dibaca ya ""Mksh yang baca"" SEMANGAT!!! kasih Lima bintang dulu ""UPDATE"" Bisakah perbaiki bug di pet, gakbisa ganti teman belajar padahal udah level maksimal💧 ""KAMI TUNGGU UPDATE NYA""",5,Positif,73,aplikasi bagus streaknya batas kali moga update update rekomendasi tambah fitur capai tonton vidio xp gold kuis xp gold latih bab xp gold alas biar gal bosen tolong baca mksh baca semangat kasih bintang update baik bug pet gakbisa ganti teman ajar udah level maksimal tunggu update
"sering sekali tidak bisa masuk ke aplikasi nya ,padahal udah berlangganan dan bayar cukup mahal",1,Negatif,15,masuk udah langgan bayar mahal
OMG.........gue dulu kls 3-5 dapat ranking 13 sekarang jadi 5 teima kasih ruang guru semoga aplikasi ini lancar amiennnnn...........,5,Positif,19,omggue kls ranking teima kasih ruang guru moga lancar amiennnnn
"Keren bangettt, btw coba deh pake kode AFIFAHUPDXIL4 Bakalan dapet diskon gedee bener..",5,Positif,13,keren bangettt btw coba deh pake kode afifahupdxil dapet diskon gedee bener
aplikasi ini sangat bagus itulah saya kasih bintang 5,5,Positif,9,bagus kasih bintang
Bagus dan gk bikin bosen,2,Negatif,5,bagus gk bikin bosen
Aku suka banget aku pengen nilai ku 100 dan rengking 5 besar,5,Positif,12,suka banget ken nilai ku rengking
Kenapa sekarang ga ada coin gratis nya? Buat pemula😑,2,Negatif,9,ga coin gratis mula
"Hallo ruangguru,seru banget...mudah ban get dimengerti thank you 
ruangguru.... Terutama om iman, om belva,and ruangguru...dari team sampai 
RG squad😃",5,Positif,19,hallo ruangguruseru bangetmudah ban get erti thank you om iman om belvaand ruanggurudari team squad
"Pelayanan tidak puas Saya sudah nunggu 13 hari Seharusnya sudah kirim pulsa tetapi terdapat kendala,lalu di delay 14 hari lagi padahal saya udah nunggu buat beli kuota,untuk download vidionya Mohon pengertiannya",1,Negatif,31,layan puas nunggu kirim pulsa kendalalalu delay udah nunggu beli kuotauntuk download vidionya mohon erti
Kenapa saya mau download gagal teruss,2,Negatif,6,download gagal teruss
Bener bener bikin gue paham inh aplikasi,2,Negatif,7,bener bener bikin gue paham inh
Alhamdulillah udah bisa di print soal²nya😭 makin suka paraaah❤️✨,5,Positif,9,alhamdulillah udah print soal nya suka paraaah
Terima kasih nilaiku jadi 80 keatas,5,Positif,6,terima kasih nilai atas
Kenapa tidak bisa diinstal?,1,Negatif,4,diinstal
"Terimakasih , karena gara² aplikasi ini nilai saya menjadi 80,90,100 ,,,Terimakasih Branly",1,Negatif,12,terimakasih gara nilai terimakasih branly
Mahal sekali langganan nya 😒,1,Negatif,5,mahal langgan
"Aplikasi nya sangat membantu , dan mudah dimengerti",5,Positif,8,bantu mudah erti
"Saya mau ganti kota malah gaada pilihannya. Sama saya dapat hadiah video, malah gabisa diambil, tulisannya masih coba 3 hari",2,Negatif,20,ganti kota gaada pilih hadiah video gabisa ambil tulis coba
Diskon 55% itu bener??,4,Positif,4,diskon bener
Semoga bermanfaat ilmu yang di dapat,5,Positif,6,moga manfaat ilmu
"Keren Banget sihh, sampe sampe Nilai Biologi Saya naik dari 65,78,75 jadi 80,87,91",5,Positif,13,keren banget sihh sampe sampe nilai biologi
Aplikasinya Gk Bisa Di Buka Di Hp Samsung J 2 Prime.Tulisannya ERRORR,1,Negatif,12,aplikasi gk buka hp samsung j primetulisannya errorr
"Cuma mau bilang ""TERIMA KASIH""",5,Positif,5,bilang terima kasih
gk bisa dibuka aplikasinya males ah nyesel langganan,1,Negatif,8,gk buka aplikasi males ah nyesel langgan
Harus bayar sih elek taik,4,Positif,5,bayar elek taik
Saya sebenernya ingin belajar sama ruang guru tapi kok harus membayar ya :-(,1,Negatif,13,sebenernya ajar ruang guru bayar
"Saya suka dengan aplikasi ini karena gk bosen saat belajar.. Tp,, kok di 
perbaharui mulu",4,Positif,15,suka gk bosen ajar tp baharu mulu
